"WORD - 52","Wunder - Unsure","Wunder - Doesn't know"
"sociopolitical",,
"socialist",,
"realism",,
"compatriot",,
"assert",,
"medium",,
"nonliterate",,
"motif",,
"salient",,
"strata",,
"folklorist",,
"personify",,
"embody",,
"archetypal",,
"protagonist",,
"derive",,
"initiatory",,
"denouce",,
"acute","x",
"juxtaposition",,
"analogous",,
"disanalogous",,
"dialectical",,
"Marxist",,
"component",,
"vivid",,
"juxtapose",,
"narrative",,
"synthesize",,
"binary",,
"censorship",,
"prefatory","x",
"experimental",,
"unprecedented",,
"transformative",,
"disenchantment",,
"vicissitudes",,"x"
"apt",,
"perniciousness",,
"sap",,
"vitality",,
"formulaic",,
"unfathomable",,
"squarely",,
"historiographic",,
"putative",,
"constraint",,
"diversion",,
"conformity",,
"reversal",,
"linear",,
"canonical",,
"rhetoric",,
"subversion",,
"corrective",,
"conviction",,
"purge",,
"hyperbole",,
"evaluative",,
"ritualize",,
"escalate",,
"combatant",,
"variation",,
"constitute",,
"subsequent",,
"markedly",,
"riparian",,"x"
"confine",,
"refute",,
"anarchism",,
"counterintuitive",,
"jurisdiction",,
"systematic",,
"illegitimate",,
"inherently",,
"deliberately",,
"refrain",,
"essence",,
"ardent",,
"pessimism",,
"hesitant",,
"antipathy",,
"scenario",,
"underpinning",,
"enact",,
"superfluous",,
"defect",,
,,
"gale",,"x"
,,
"WORD 60",,
"marginally",,
"magnitude",,
"accrue",,
"diligence",,
"asset",,
"liquidate",,
"inaccessible",,
"onerous",,
"eroded",,
"contingency",,
"endeavor",,
"pragmatic",,
"ramification",,
"aesthetic",,
"exclusion",,
"convey",,
"satirical",,
"satirize",,
"palpable",,
"immediacy",,
"quintessential",,
"improvisation",,
"apex",,
"unionize",,
"thesis",,
"intricacy",,
"instrumental",,
"pollinate",,
"pollination",,
"adduce",,
"nestmate",,
"naturalist",,
"decipher",,
"deduce",,
"precise",,
"voltage",,
"elicit",,
"olfactory",,
"proximity",,
"generically",,
"plural",,
"impose",,
"detrimental",,
"critique",,
"consumption",,
"prevailing",,
"conducive",,
"migration",,
"gratify",,
"cease",,
"diverse",,
"de facto",,
"dictate",,
"civility",,
"civic",,
"contend",,
"urbanism",,
"sprawl",,
"proliferate",,
"distillation",,
"devise",,
"mutation",,
"evolutionary",,
"unforeseen",,
"prestige",,
"antagonize",,
"compound",,
"ecologist",,
"emit",,
"enzyme",,
"sterilize",,
"facilitate",,
"invariably",,
"inclination",,
"virtually",,
"influx",,
"decimate",,
"noxious",,
"radii",,
"radius",,
"correspondence",,
"confiscate",,
"admissable",,
"interoffice",,
"compelling",,
"compel",,
"theorist",,
"acclaimed",,
"perception",,
"explicit",,
"implicit",,
"distinctive",,
"affect",,
"effect",,
"mulch",,
"transgress",,
"utilize",,
"ethical",,
"societal",,
"sanction",,
"immune-cell",,
"polymer",,
"glucose",,
"cellulose",,
"mammal",,
"rigorous",,
"innate",,
"commercially",,
"avant-garde",,
"inhibit",,
"spatial",,
"reprimand",,
"endemic",,
"ecosystem",,
"photosynthesis",,
"carbohydrate",,
"emission",,
"in lieu of",,
"correlate",,
"reduction",,
"incentive",,
"disclosure",,
"inclusive",,
"indigenous",,
"cosmopolitan",,
"expertise",,
"viable",,
"dredge",,
"populous",,
"geographical",,
"adobe",,
"conduct (heat)",,
"biochemical",,
"deride",,
"rehabilitate",,
"fluctuate",,
"discrepancy",,
"epidemiological",,
"cast (doubt)",,
"unsound",,
"inevitable",,
"dwindle",,
"rebutt",,
"deficiency",,
"basis",,
"oriented",,
"substance",,
,,
"PT 68",,
"prospective",,
"purportedly",,
"distinguished (as in different)",,
"passive",,
"flourish",,
"consistent",,
"variant",,
"partake",,
"reliance",,
"commemorate",,
"linguist",,
"linguistic",,
"thematic",,
"convention (as in custom)",,
"affirm",,
"cohesiveness",,
"embellishment",,
"metaphor",,
"incorporate",,
"pursuer",,
"weather (as in persevere)",,
"imagery",,
"compose",,
"verse (as in poetry)",,
"exigency",,
"continuity",,
"editorial",,
"treatise",,
"assertion",,
"centrality",,
"longevity",,
"hinder",,
"reportorial",,
"array",,
"multitudinous",,
"genetic",,
"muster (as in ""pass ______""",,
"arise",,
"dissuade",,
"circumvent",,
"botanical",,
"metabolize",,
"exclusively",,
"decelerate",,
"alter",,
"regulator",,
"outright",,
"immunity",,
"harness (not horses)",,
"monopoly",,
"notoriously",,
"aspiration",,
"rigor",,
"receptivity",,
"intuition",,
"assess",,
"ambiguity",,
"prevalence",,
"illustrate",,
"prominence",,
"ideology",,
"undermine",,
"collude",,
"nullify",,
"overinclusive",,
"literally",,
"foresight",,
"acquit",,
"discretionary",,
"inadvertently",,
"capricious",,
"delinquent (as in not paying)",,
"selectively",,
"lien",,
"implication",,
"appropriations",,
"fissure",,
"tectonic",,
"fluctuation",,
"diffuse",,
"tacit",,
"philanthropic",,
"solicit",,
"counteract",,
"definitive",,
"analog (not video)",,
"conjecture",,
"conclusive",,
"revenue",,
"inhabit",,
"admittedly",,
"designated",,
"secretion",,
"cartographer",,
"susceptible",,
"contention",,
"associate (v)",,
"inventive",,
"exceed",,
"disparate",,
"predisposed",,
"noncompliance",,
"drought",,
"delegate (n)",,
"withstand",,
"noncognitive",,
"devoid",,
"objective (n)",,
"coincide",,
"criteria",,
"rash (adj)",,
"adequate",,
"allude",,
"encrust",,
"sever",,
"inequitably",,
"editorialist",,
"ailment",,
"acquire",,
"absorption",,
"inconclusive",,
"ecologically",,
"tainted",,
"ascribe",,
"archaeologist",,
"depletion",,
"apparent",,
"incinerate",,
"hypocrite",,
"tout",,
"indignation",,
"drastically",,
"attitudinal",,
"infer",,
"apathy",,
"iconoclastic",,
"swath",,
"pummel",,
"sequential",,
"adhere",,
"underlying",,
"primer (paint)",,
"inflammatory",,
"deem",,
"animosity",,
,,
"PT 67",,
"vaudeville",,
"amass",,
"memorabilia",,
"insufficient",,
"undertake",,
"vest",,
"scrutiny",,
"verification",,
"corroborate",,
"innovative",,
"aspect",,
"initiative",,
"objectivity",,
"chronicle",,
"duplicate",,
"authoritative",,
"methodology",,
"objectively",,
"preponderance",,
"explication",,
"skim",,
"idyllic",,
"allusion",,
"salutary",,
"omit",,
"interwoven",,
"collaboration",,
"employ (not job)",,
"contrast",,
"exemplify",,
"accumulate",,
"illustrative",,
"empirical",,
"ethnographic",,
"revelation",,
"expository",,
"novelistic",,
"insight",,
"recount",,
"anecdote",,
"amorphous",,
"distinction",,
"complacent",,
"invasive",,
"virgorous",,
"pristine",,
"merit (v)",,
"biodiversity",,
"outcompete",,
"zero-sum",,
"stark",,
"continuum",,
"contradict",,
"conflate",,
"arbitrary",,
"fray",,
"lamentable",,
"phenomena",,
"phenomenon",,
"advisability",,
"sovereign",,
"abdicate",,
"supposition",,
"theoretical",,
"conundrum",,
"paradox",,
"omnipotence",,
"monarchy",,
"renege",,
"regime",,
"expropriate",,
"repudiate",,
"vein",,
"extent",,
"doctrine",,
"multinational",,
"bear",,
"modular",,
"protein",,
"enterprise",,
"morale",,
"yield",,
"phase (v)",,
"heed",,
"impropriety",,
"contractor",,
"excessive",,
"dosage",,
"plausible",,
"equivocate",,
"wholesale",,
"objectionable",,
"permissible",,
"paternalistic",,
"civil liberties",,
"bombard",,
"microbial",,
"conjunction (in ___ with)",,
"varnish",,
"climatologist",,
"acoustic",,
"plagiarism",,
"prosperity",,
"carbon dioxide",,
"contrary",,
"rousing",,
"secrete",,
"advantageous",,
"flourescent",,
"illuminate",,
"deterioration",,
"humidity",,
"corrosion",,
"application",,
"disproportionately",,
"consultation",,
"free market",,
"allocation",,
"corporate",,
"commensurate",,
"spur",,
"ethicist",,
"discern",,
"decompose",,
"forego",,
"redeem",,
"compensate",,
"alleged",,
"perceive",,
"verdict",,
"significantly",,
"significant",,
"disguise",,
"pesticide",,
"organic",,
"avoidance",,
"postimpressionist ",,
"critic",,
"insist",,
"respiratory",,
"toxin",,
"climatic",,
"pigment",,
,,
"PT 66",,
"crude",,
"extinction",,
"anthropologist",,
"negative correlation",,
"fiber",,
"instantaneous",,
"retrieval",,
"capacity",,
"displacement",,
"inventory",,
"efficiency",,
"supplant",,
"catalog",,
"numerous",,
"proceeds (n)",,
"absorb",,
"irrelevant",,
"literary",,
"accede",,
"unfettered",,
"redundant",,
"accommodate",,
"bound",,
"adjustment",,
"interval",,
"economic",,
"conglomerate",,
"revitalize",,
"allocate",,
"reasonable",,
"eventual",,
"impetus",,
"primary",,
"obstacle",,
"warehouse (v)",,
"patronage",,
"appeal",,
"identification",,
"inability",,
"incriminate",,
"identical",,
"uniform",,
"concur",,
"ably",,
"peer review",,
"discretion",,
"consensus",,
"similarity",,
"holistic",,
"forensic",,
"smudged",,
"decisively",,
"lax",,
"erroneous",,
"defendants",,
"faulty",,
"uniformity",,
"examiners",,
"vary",,
"degree",,
"preside",,
"appeal",,
"integrity",,
"underlie",,
"clarify",,
"tentative",,
"unsubstantiated",,
"terrain",,
"narration",,
"omniscience",,
"disembody",,
"immersion",,
"lyricism",,
"overarching",,
"intertwines",,
"individuality",,
"embed",,
"construct",,
"render",,
"fixed",,
"virtuosity",,
"analogue",,
"inference",,
"applicable",,
"counterexample",,
"sought",,
"aloud",,
"primarily",,
"primary",,
"commend",,
"practitioner",,
"milieu",,
"compositional",,
"emulate",,
"acknowledge",,
"revision",,
"nuclei",,
"atom",,
"neutron",,
"compile",,
"nuclear fission",,
"proton",,
"radioactive",,
"analyses",,
"hamper (v)",,
"minute",,
"coin (v)",,
"conceptual",,
"erratic",,
"abroad",,
"particle ",,
"by-product",,
"reevaluated",,
"gridlock",,
"projection",,
"mutually exclusive",,
"curator",,
"wage war",,
"convoluted",,
"verbiage",,
"formulate",,
"comprehensible",,
"physician",,
"pharmacological",,
"intermediary",,
"neurochemical",,
"harbor (v)",,
"scenic",,
"fragile",,
"ingenious",,
"coherence",,
"imbue",,
"sought",,
"biologist",,
"amphibian",,
"environmentalist",,
"additive",,
"deplete",,
"legitimate",,
"vital",,
"intensity",,
"tantamount",,
"mischaracterize",,
"commentator",,
"cynical",,
"altruistic",,
"mendacity",,
"absurd",,
"contributing factor",,
"predecessors",,
"hybrid",,
"piracy",,
"marxism",,
"inexorable",,
"socialization",,
"misconstrue",,
"economic sphere",,
"oblige",,
"egregious",,
"disinterested",,
"simultaneous",,
"adjacent",,
"primate",,
"maintenance",,
"social cohesion",,
"extrapolate",,
"architecture",,
"subsidiary",,
"patent",,
"bull-headed",,
"unyielding",,
"epithet",,
"resolution",,
"tactic",,
"advocate (v)",,
"conditional",,
"referendum",,
"proponent",,
"contaminant",,
"misinformation",,
"vast",,
"unregulated",,
"imitate",,
"gallop",,
"espionage",,
"construct",,
"squeaky",,
"mythic proportions",,
"exaggerate",,
"overdue",,
"utilitarian",,
"amino acid",,
"asteroid",,
"catastrophic",,
"mishap",,
"auxiliary",,
"relation",,
"repetitive",,
"engender animosity",,
"orbit",,
"celestial",,
"anatomical",,
"metabolic",,
"market (v)",,
"abundant",,
"expenditure",,
"recyclable",,
"sanitation",,
"presuppose",,
